,company_name,job_title,job_senority,degree,job_desc,city,state,avg_salary,salary_lower,salary_upper,size,industry,sector,job_function,revenue,num_listings
1776,"Community Health Center, Inc.",Indexing Clerk - Full Time - $20.00/hr,,,"job description summary:
community health center, inc. (chc), with offices in connecticut, colorado and california, is one of the country’s most creative and dynamic providers of primary medical, dental, and behavioral health services, and a leader in practice-based research, health professionals training, and use of innovative technologies to advance health and healthcare. chc is designated as a federally qualified health center and a patient-centered medical home by hrsa, the joint commission, and ncqa, respectively. we deliver more than 600,000 patient visits per year from primary care hubs and community clinics across the state of ct, all connected by technology and common standards for quality. we employ several hundred medical, dental, and behavioral health providers who are engaged in practice, teaching, and research. our weitzman institute is devoted to research and practice transformation and is recognized around the country as one of the premier research institutes focused on improving health care and health outcomes for special and vulnerable populations. in addition, the organization has developed three wholly owned subsidiaries from the original pilot developments within the weitzman institute: the national nurse practitioner residency and fellowship training consortium (nnprftc), the national institute for medical assistant advancement (nimaa), and confermed.
full time",,CT,41600.0,41600.0,,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Retail & Food Services,$100 to $500 million (USD),50
1778,nan,Director Merchandising - Women's Fashion ,,,"our zulily corporate headquarters is in seattle, wa, and this position is available for hybrid work in wa and remote work in the following states: oh, nv, pa, tx, fl, nj, ga, and nc.
the opportunity
this director will lead our core apparel, graphics, jewelry, and accessories merchandising teams to achieve financial targets and kpis. they will establish the strategic vision for the business and leverage cross-functional relationships to ensure alignment and goals are achieved; in addition, they will secure and allocate the appropriate resources to deliver goals. this leader must possess strong merchandising and buying skills to accelerate new strategies and vendor partnerships to deliver long-term growth.
who we are
zulily’s mission is to deliver the best shopping experience for moms. we believe that delivering a successful business strategy requires building a successful talent strategy and that our long-term growth will directly correlate to our ability to successfully recruit, engage, develop, and retain diverse talent that can invent, optimize, and deliver for our customers.
our core apparel and graphics business require a creative leader to influence product development and vendor partnerships to optimize selection for trends and growth categories (sweaters, dresses, maternity, plus) as well as support the team in developing lifestyle brands and key items. the jewelry and accessories (handbags, travel, soft accessories) businesses will benefit from new national brand partnerships.",Seattle,WA,163328.0,130.0,205.0,1001 - 5000 ,Other Retail Stores,Retail & Wholesale,Retail & Food Services,$1 to $5 billion (USD),50
1779,Digital Federal Credit Union / DCU,"Collections Team Member II,  - Florida Only, Full-Time",,,"3 days 8-5, 2 days 11-8pm, alt sat 9-3pm
contact all members with delinquent accounts greater than 60 days past due. effectively manage assigned portfolio and make chargeoff, repossession, and foreclosure recommendations to management. assist members in restoring their good standing status with the credit union. also responsible for maintaining the financial soundness of the credit union, as well as contributing to the department's ongoing effort to manage the asset quality by achieving the lowest possible delinquency and charge-off ratios.
reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
exercising appropriate phone etiquette, answer incoming member or member-related contacts (phone calls, emails, faxes, etc.), work collection queues and make outbound member calls.
review and document status of accounts and initiate telephone contact on delinquent loans research accounts on the delinquent loan reports to ensure credit union errors are detected promptly and corrected.",Jacksonville,FL,35227.0,30.0,42.0,501 - 1000 ,Banking & Lending,Financial Services,Retail & Food Services,$100 to $500 million (USD),50
1780,Holland America Line Inc,"Director, Hotel Operations, International -  US",,,"one of the best-known names in cruising, princess is the world’s leading international premium cruise line and tour company, carrying millions of guests each year to hundreds of destinations around the globe. with parent company carnival corporation, princess has introduced medallion class vacations. this award-winning innovation offers the fastest way to an effortless, personalized vacation.
we’re looking for an amazing hotel operations director to fill this role. you’ll be responsible for the overall guest experience onboard the ships operating outside the us. as the main day to day operational contact for the shipboard hotel general managers the role will support and coach the onboard teams in delivering a seamless guest vacation experience. this position will collaboratively drive the shipboard teams to foster an environment of guest centricity and high-quality consistent service delivery. this role will continuously analyze guest and teammate feedback from all channels working closely with all areas of the business for continuous improvement .

here’s a summary of what princess is looking for in its director, hotel operations- international. is this you?",Santa Clarita,CA,70079.0,54.0,91.0,1001 - 5000 ,Travel Agencies,Hotels & Travel Accommodation,Retail & Food Services,$100 to $500 million (USD),50
1781,"Cass Information Systems, Inc.",Utility Support Clerk ,,,"access customer files to research and update existing account numbers in tandem. load new account information.
principal responsibilities and duties:
reviews various files to research account numbers rejected in data entry. research tandem to identify existing accounts by matching meter numbers to service address or sites to the information on file.
utilizes provided excel spreadsheets to load new accounts into tandem including account number, vendor, and other client required information.
prioritizes and verifies accuracy of work and returns work to designated departments in a timely and orderly manner.
keeps management advised of any potential account changes or concern areas.",Columbus,OH,35242.0,31.0,40.0,1001 - 5000 ,Financial Transaction Processing,Financial Services,Retail & Food Services,$100 to $500 million (USD),50
1782,Monster Energy,Street Team Representative,,,"merchandiser job (driving to various stores and restocking monster energy products)
position summary:
the monster street team program is a market specific program for monster beverage corp. the purpose of the team is to:
increase merchandising support in all measured channels, focus on distribution, space and points of interruption, build and strengthen route level relationships in nielsen measured accounts, execute “curb to vault” strategy for pos, support sales efforts with constant communication via app based tools and communicate execution action items to the monster street team lead
essential job functions:
representatives will have several roles and responsibilities including, but not limited to the following:
route level relationships with store managers on their specific route
merchandising monster in the cold vault and in coolers",Arlington,WA,42754.0,36.0,51.0,1001 - 5000 ,Food & Beverage Manufacturing,Manufacturing,Retail & Food Services,$1 to $5 billion (USD),50
1783,Accurate Background,Court Runner - San Bernardino,,,"overview:
when you join accurate background, you’re an integral part of making every hire the start of a success story. your contributions will help us fulfill our mission of advancing the background screening experience through visibility and insights, empowering our clients to make smarter, unbiased decisions

the court specialist/runner will contact courts and other data sources in order to conduct (in person, by phone, or online) criminal/civil and other forms of record checks as part of an employment background screening report (consumer report), ensuring complete, accurate and up-to-date information is obtained and reported within prescribed guidelines and deadlines.

candidate will work independently to complete assigned duties and must live within a 20 mile radius of the san bernardino district - superior court: 247 west third street, san bernardino, ca 92415-0120


responsibilities:
qualifications:",San Bernardino,CA,37440.0,35360.0,39520.0,1001 - 5000 ,HR Consulting,Human Resources & Staffing,Retail & Food Services,$100 to $500 million (USD),50
1784,Woodgrain,"Merchandise Stocker - Cherry Hill, NJ",,,"life is too short to wake up with regrets, work with us and follow the grain!
our merchandise stockers are learning and performing in-store service, managing inventory replenishment (ordering and stocking), generating weekly credits and providing exceptional customer service within a defined territory inside high volume national account stores.
check us out: a day in the life of a merchandise stocker
woodgrain millwork is proud to be a family owned and operated manufacturer with over 60 years of product innovation, quality service and business growth. our strategy of vertical integration allows our company to bring high-quality products to market competitively. woodgrain millwork’s diverse product offering includes wood moulding, decorative trim, wood door shop parts and products, as well as many branded products. woodgrain is a worldwide manufacturer and is proud to be one of the largest millwork operations in the world.",Cherry Hill,NJ,37190.399999999994,37190.399999999994,,1001 - 5000 ,Wood & Paper Manufacturing,Manufacturing,Retail & Food Services,$100 to $500 million (USD),50
1786,Clear Channel Outdoor,Operations Crew Member,,,"clear channel outdoor

job summary:
the mwaa operations crewmember’s primary responsibilities for this job are to support all operational functions of the reagan international and dulles international airport's advertising programs on-site.

primary responsibilities
maintain all signage condition and operations including daily function, installations and material management activities.
inspect all signage locations daily; illuminated printed, direct application, free charge stations, digital and specialty assets to ensure they are clean and in good condition/working order.
safely hang client or airport copy (display creative) or assist with installs as needed.

virtual, va

regular",,VA,,,,1001 - 5000 ,Advertising & Public Relations,Media & Communication,Retail & Food Services,$1 to $5 billion (USD),50
1792,Lamps Plus,Marketplace Merchandising Analyst,,,"seeking in-person/remote candidates in the state of california near the city of los angeles and fully remote positions for candiates in az, ca, fl, ga, id, ma, mi, mn, nc, ne, nv, or, sd, tx & wa.

join a rapidly growing, dynamic team at the forefront of e-commerce. we offer the stability of a family owned company, competitive compensation, and growth opportunities for motivated candidates.
the marketplace merchandising analyst manages the day to day operations of lamps plus business on 3p marketplace channels. they generate and implement merchandising and marketing proposals to improve sales, conversion, and customer satisfaction. help identify winning categories and pulls the correct levers to maximize sales and profit. reports to merchandising manager.
position will be work from home, with up to 5% travel to headquarters in chatsworth, ca and trade events.",Chatsworth,CA,56701.0,49.0,66.0,1001 - 5000 ,Home Furniture & Housewares Stores,Retail & Wholesale,Retail & Food Services,$100 to $500 million (USD),50
1794,WorldStrides,Team Member Care Lead,,,"worldstrides is the global leader in educational travel and experiential learning. the company was founded over 50 years agoand has grown to provide a wide range of programs for more than 550,000 students annually from more than 5,000 k12 schools and universities to over 100 countries around the world. worldstrides offers experiential learning programs in educational travel, performing arts, language immersion, career exploration, service-learning, study abroad, and sports. each of these experiences helps students to see beyond the classroom and to see the world – and themselves – in new ways.

the team member care team lead is a key member of the envision by worldstrides team that is responsible for ensuring that full time and seasonal team members that join our team feel supported and prepared for their role. they will define and implement processes and systems to create effective and efficient communication, as well as serve as a hub within the organization for resources, knowledge sharing, and inclusion. this role will support new employee onboarding, track employee progress, and manage communications with team members, supervisors, and human resources. the ideal candidate for this role feels extreme satisfaction by helping others feel supported in their work, genuinely cares about individual employee progress, and understands the value of long-term investment in team growth and development.

at worldstrides, the experience is everything. by joining our team you help provide moments that delight and open up the world of learning. our team is truly passionate about making each experience a once in a lifetime opportunity for each traveler that is easy to manage from a to z. each journey is different, which is why we offer a broad range of experiential learning programs for groups and individuals of all ages throughout their lifelong learning journey.

if we've learned anything over this last year, it's that being able to experience different places and things while interacting with new people is imperative to not only personal growth but also to general well-being. so, let's get out there–together.to learn more about our brand, our mission and our commitment to health and safety, please visit our website atwww.worldstrides.com.

members of our team are able to take advantage of our generous paid-time off (pto) policy, comprehensive insurance plans (medical, dental, vision and more), flexible spending accounts, paid parental and care giver leave, a casual work environment and a flexible work policy with several options to meet both your professional and personal needs. in addition, we offer travel perks on our products.

as an equal opportunity employer, worldstrides`is committed to building a diverse workforce, supported by an environment that promotes inclusion and belonging.all qualified applicants will receive consideration for employment without regard torace, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.


worldstrides is the global leader in educational travel and experiential learning. the company was founded over 50 years agoand has grown to provide a wide range of programs for more than 550,000 students annually from more than 5,000 k12 schools and universities to over 100 countries around the world. worldstrides offers experiential learning programs in educational travel, performing arts, language immersion, career exploration, service-learning, study abroad, and sports. each of these experiences helps students to see beyond the classroom and to see the world – and themselves – in new ways.

the team member care team lead is a key member of the envision by worldstrides team that is responsible for ensuring that full time and seasonal team members that join our team feel supported and prepared for their role. they will define and implement processes and systems to create effective and efficient communication, as well as serve as a hub within the organization for resources, knowledge sharing, and inclusion. this role will support new employee onboarding, track employee progress, and manage communications with team members, supervisors, and human resources. the ideal candidate for this role feels extreme satisfaction by helping others feel supported in their work, genuinely cares about individual employee progress, and understands the value of long-term investment in team growth and development.

at worldstrides, the experience is everything. by joining our team you help provide moments that delight and open up the world of learning. our team is truly passionate about making each experience a once in a lifetime opportunity for each traveler that is easy to manage from a to z. each journey is different, which is why we offer a broad range of experiential learning programs for groups and individuals of all ages throughout their lifelong learning journey.

if we've learned anything over this last year, it's that being able to experience different places and things while interacting with new people is imperative to not only personal growth but also to general well-being. so, let's get out there–together.to learn more about our brand, our mission and our commitment to health and safety, please visit our website atwww.worldstrides.com.

members of our team are able to take advantage of our generous paid-time off (pto) policy, comprehensive insurance plans (medical, dental, vision and more), flexible spending accounts, paid parental and care giver leave, a casual work environment and a flexible work policy with several options to meet both your professional and personal needs. in addition, we offer travel perks on our products.

as an equal opportunity employer, worldstrides`is committed to building a diverse workforce, supported by an environment that promotes inclusion and belonging.all qualified applicants will receive consideration for employment without regard torace, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.",West Valley City,UT,31667.0,29.0,35.0,1001 - 5000 ,Colleges & Universities,Education,Retail & Food Services,,50
1796,The Boston Beer Company,Brewery Representative ,,,"we are currently hiring a brewery representative (innovation) in austin, tx.
the brewery representative works autonomously to focus on developing new accounts and maintaining current accounts within the industry. a high emphasis is placed on increasing the availability and visibility of products in new and existing accounts by using consultative sales tactics.
what you'll brew:
selling the innovation brands within our boston beer company (bbc) portfolio.
100% focus on selling products and/or upgrading number of product lines in retail accounts (bars/restaurants, liquor/grocery stores/convenient stores)
identifying major accounts that are not currently selling bbc products, and developing a plan to establish business with such accounts",Austin,TX,,,,1001 - 5000 ,Food & Beverage Manufacturing,Manufacturing,Retail & Food Services,$1 to $5 billion (USD),50
1797,PrimeSource Building Products,Merchandiser- Nashville,,,"requirements:
full time job with benefits (8 hour shift with ½ lunch)
flexible start times (5am to 9am) flexible end times (1:30pm to 7pm) depending on your start time
no weekends! work independently in the field!
you also will be provided with a iphone and company polo shirts.
responsibilities
merchandising specialists are expected to service 2 to 3 stores a day within their territory. you work independently from home remotely and are responsible for merchandising fasteners (nails and screws) in assigned home improvement retail stores.",Irving,TX,44203.0,36.0,55.0,1001 - 5000 ,Wholesale,Retail & Wholesale,Retail & Food Services,$1 to $5 billion (USD),50
1799,Panoramic Health,VBC Care Team Navigator,,,"are you ready to join the future of healthcare?
join panoramic health! we are looking for an experienced vbc care team navigator!

who we are & why we are different
panoramic health partners with nephrology practices to implement value-based care (vbc). vbc prioritizes high-touch care coordination for patients with chronic illnesses like chronic kidney disease (ckd). it is an interdisciplinary model where care is developed and perfected with the health of the patient as the primary driver of success. for patients living with ckd, that means slowing the progression of the disease, reducing hospitalizations, and focusing on home dialysis treatment therapies and transplantation if a diagnosis of end stage renal disease occurs.",Panama City,FL,34765.0,30.0,41.0,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Retail & Food Services,,50
1800,Cash App,Head of Crypto Engineering ,,,"company description

it all started with an idea at block in 2013. initially built to take the pain out of peer-to-peer payments, cash app has gone from a simple product with a single purpose to a dynamic app, bringing a better way to send, spend, invest, borrow and save to our millions of monthly active users. with a mission to redefine the world's relationship with money by making it more relatable, available and accessible, at cash app you'll have the opportunity to make a real-world impact with your career.
today, cash app has thousands of employees around the world with a culture geared toward creativity, collaboration and impact. we’ve been a distributed team since day one, and continue to value working across time zones and continents both remotely and in our cash app offices.our offices are great, but many of our roles can be done remotely from the countries where block operates. we tailor our experience to champion our employees’ creativity and productivity wherever they are.",San Francisco,CA,149430.0,121.0,185.0,1001 - 5000 ,Computer Hardware Development,Information Technology,Retail & Food Services,,50
1801,Trinity Services Group,Food Service Director,,,"wage rate: $65,000-$75,000/year overview:
are you looking for a career with premium benefits and the potential for growth? at trinity services group, we have created something special, a better place to work and grow. many employees start just expecting a paycheck but end up with a rewarding career. we provide exceptional training and a clear career path.

about this position:
*** must be willing to relocate within 50 miles of eden, tx. ***

the food service director plans, directs and coordinates the activities associated with running a single site, stand-alone food service operation in a facility with only one kitchen and less than 1,000 inmates/beds. this position oversees the operational and financial responsibilities for the kitchen and supervises an assistant food service director and/or a team of food service workers and/or cooks who are involved with the preparation, serving and clean-up of food in a secure correctional facility.

our ideal food service director excels at the following:
what you'll need:
benefits:
eeo statement:",,TX,70000.0,65.0,75.0,1001 - 5000 ,Catering & Food Service Contractors,Restaurants & Food Service,Retail & Food Services,$100 to $500 million (USD),50
1802,Woodgrain,"Merchandise Stocker - Hampton, VA",,,"surround yourself with a great team, we know the way to success.

our merchandise stockers are learning and performing in-store service, managing inventory replenishment (ordering and stocking), generating weekly credits and providing exceptional customer service within a defined territory inside high volume national account stores.
check us out: a day in the life of a merchandise stocker
woodgrain millwork is proud to be a family owned and operated manufacturer with over 60 years of product innovation, quality service, and business growth. our strategy of vertical integration allows our company to bring high-quality products to market competitively. woodgrain millwork’s diverse product offering includes wood moulding, decorative trim, wood door shop parts and products, as well as many branded products. woodgrain is a worldwide manufacturer and is proud to be one of the largest millwork operations in the world.",Hampton,VA,42120.0,42120.0,,1001 - 5000 ,Wood & Paper Manufacturing,Manufacturing,Retail & Food Services,$100 to $500 million (USD),50
1804,Monster Energy,Street Team Representative,,,"merchandiser job (driving to various stores and restocking monster energy products)
position summary:
the monster street team program is a market specific program for monster beverage corp. the purpose of the team is to:
increase merchandising support in all measured channels, focus on distribution, space and points of interruption, build and strengthen route level relationships in nielsen measured accounts, execute “curb to vault” strategy for pos, support sales efforts with constant communication via app based tools and communicate execution action items to the monster street team lead
essential job functions:
representatives will have several roles and responsibilities including, but not limited to the following:
route level relationships with store managers on their specific route
merchandising monster in the cold vault and in coolers",Dallas,TX,40925.0,34.0,50.0,1001 - 5000 ,Food & Beverage Manufacturing,Manufacturing,Retail & Food Services,$1 to $5 billion (USD),50
1808,Harte Hanks,Licensed Healthcare Team Member,,,"the licensed healthcare agent is a key member of the inbound contact center responsible for taking inbound calls and completing outbound calls while listening to the callers needs and working to fulfill the appropriate sales opportunity for that caller to ensure retention. the licensed healthcare agent will be responsible for fostering customer relationships by building rapport with the callers and creating a positive customer experience for each caller. a combination of being an active listener, articulation, product and sales-oriented, and possessing the ability to communicate plan information clearly will make for an ideal candidate.

this is a fully remote position with guaranteed pay of $17/hr but candidate must reside in one of the following states: ar, fl, il, ks, nh, nj, tn, tx, pa, oh, va, ga

classes start end of december for this full-time, long term opportunity with the harte hanks organization.

essential responsibilities and deliverables",Austin,TX,35360.0,35360.0,,1001 - 5000 ,Advertising & Public Relations,Media & Communication,Retail & Food Services,$500 million to $1 billion (USD),50
1809,"Keystone Peer Review Organization, Inc.",Review Clerk ,,,"review clerk (remote)
are you an experienced review clerk looking for a new challenge?
do you value care management and quality improvement?
are you motivated, energetic, and excited to become part of the kepro team?
if so, you might be our next new team member!
who we need:

provides a broad range of administrative support to a team, department and/or individual and reports to the manager medial review services. the position supports office employees with day-to-day office functions, training and non-clinical support functions (e.g. data entry and report tracking) and performs functions to support external customer access to staff and services; arrange venues; arrange conference calls, copy and organize materials for training, enter data into various software programs; answer and respond to routine calls, inquiries and questions and route calls appropriately; ensure timely and proper handling and safeguarding of confidential, private or sensitive material; performs special projects as required as well as other duties as assigned to meet business needs.",Philadelphia,PA,36210.0,31.0,42.0,501 - 1000 ,Health Care Services & Hospitals,Healthcare,Retail & Food Services,,50
1810,"National Carwash Solutions, Inc.",Tunnel Design Team Member -  Position,,,"national carwash solutions has grown over the past 46 years to become north america’s largest equipment, service, and cleaning solutions provider in the car wash industry. our world-class brands are backed by the largest service network in the country with more than 400 dedicated service professionals and growing! come join us for an extraordinary career in a high-growth, team-oriented company!

the gig:

reporting to the director of design & development, the design team member will be central to our growth of the design team as you will provide equipment drawings, collaborate with the design team and other ncs representatives. the drawing sets provided by ncs are utilized by architects, engineers, and others to accurately reflect the expected construction requirements relative to our equipment. these sets are also used by our sales teams for closing deals, installation teams for equipment erection, and service teams in reference.",Grimes,IA,40299.0,33.0,50.0,1001 - 5000 ,Wholesale,Retail & Wholesale,Retail & Food Services,,50
1811,The Boston Beer Company,"Brewery Representative - St. Louis, MO",,,"we are currently hiring a brewery representative in st. louis, mo.
the brewery representative works autonomously to focus on developing new accounts and maintaining current accounts within the industry. a high emphasis is placed on increasing the availability and visibility of products in new and existing accounts by using consultative sales tactics.
what you'll brew:
sell our entire boston beer company (bbc) product portfolio.
100% focus on selling products and/or upgrading number of product lines in retail accounts (bars/restaurants, liquor/grocery stores/convenient stores)
identifying major accounts that are not currently selling bbc products, and developing a plan to establish business with such accounts",Saint Louis,MO,,,,1001 - 5000 ,Food & Beverage Manufacturing,Manufacturing,Retail & Food Services,$1 to $5 billion (USD),50
1816,City of West Palm Beach,City Clerk,,,"under general direction, oversees and ensures the integrity of city elections, city records, and codification of legal documents adopted by the city commission; acts as supervisor of city elections; supervisor of city records management and records disposition program administrator; administers the city’s records management program and coordinates the logging, filing and scanning/microfilming of municipal records and files; oversees the preparation of documents for storage and purging; insures the safekeeping of records in compliance with applicable laws and city policies and the ability to retrieve documents as needed; attend/participate in all city commission meetings; prepare and maintain the official minutes of all meetings of the city commission/community redevelopment agency/and ad hoc committees; serves as the official records custodian and official custodian of the seal of the city. maintains and fulfills public records requests in citywide database; participate in task force assignments, attends meetings, and prepares report; prepares, countersigns, and attest to all official city documents; supervises, directs, and evaluates assigned staff, processing employee concerns and problems, directing working, counseling, and discipline and completing employee performance appraisals; administers oaths and affirmations; publishes legal notices and gives notice of public meetings; codifies and records all laws, ordinances, resolutions, and legal documents adopted by the city commission; maintains lobbyist registration database, domestic partnership registry, and cemetery sales; updates city website with election and meeting minutes information; and performs other related duties as assigned.",West Palm Beach,FL,37158.0,31.0,44.0,1001 - 5000 ,Municipal Agencies,Government & Public Administration,Retail & Food Services,,50
1817,Richardson International,"Director, Foodservice - Wesson Oil",,,"at richardson international, being truly invested is at the heart of everything we do. family owned for over 165 years, richardson is recognized as a global leader in agriculture and food processing, richardson is one of north america’s best managed companies and has more than 3,000 employees across north america and the u.k.
richardson is one of north america’s oldest and largest fully-integrated oilseed processing and packaging operations, we source grains and oilseeds directly from the grower and transform them into a wide array of value-added products – from high stability canola-based oils, baking fats, and shortenings to whole oats, flakes, flours, granola clusters and retail packaging. we take pride in owning wesson oil – the largest retail oil brand in the u.s. and look forward to growing our foodservice business out of our memphis, tn location.
as the director, foodservice, you will be based in south eastern u.s. (remote office) and will lead the foodservice channel for richardson in the u.s.
responsibilities:
develop and execute the business plan and go-to market strategy for the foodservice channel selling packaged oil products",,GA,,,,1001 - 5000 ,Crop Production,Agriculture,Retail & Food Services,$5 to $10 billion (USD),50
1818,Bartaco | bartaco,Beverage Director,,,"beverage director
location: traveling and remote-based

position scope: the director of beverage will provide mentorship and guidance to the bartaco beverage team and restaurant operations on the overall beverage execution with new menu rollouts and operational standards. this person is tasked with the development of bartenders and beverage managers to best manage our bar to deliver high-quality bartaco drinks + radical guest-first hospitality. the director of beverage will be involved with each vendor for pricing and negotiation, new menu rollouts, support to new restaurant openings, as well as units that require an in the trenches approach. they will need to have detailed knowledge of all bartaco specifications and recipe standards, in-depth product knowledge, and be fluent in the execution of the inventory systems.

s/he reports directly to the svp of operations and works closely with them on determining restaurant onsite needs. this role requires collaboration with bartenders, bar managers, gms, regional directors + ops training.








brand: bartaco
address: 4238 wilson blvd arlington, va - 22203
property description: va - bartaco - restaurant support center
property number: 0065",Arlington,VA,63989.0,51.0,80.0,1001 - 5000 ,Restaurants & Cafes,Restaurants & Food Service,Retail & Food Services,,50
1820,Volkswagen Group of America,Wholesale Parts Specialist,,,"united states-arizona

this role reports to wholesale field manager and is located in arizona with a role classification of fully remote.
role summary:
the wholesale field operations specialist role is responsible for enrolling and leveraging dealer facing wholesale parts sales programs and implementing automotive parts wholesale business best practices. daily activities include traveling full time to dealers in key metro markets within the region to coach dealers to increase volkswagen group of america (vwgoa) profitability through the increase of wholesale parts and accessory sales. performance for this role will be monitored and evaluated based on continuously improving parts sales; program engagement, dealership parts purchase loyalty, and parts departments key performance indicators (kpis).",,AZ,,,,1001 - 5000 ,Transportation Equipment Manufacturing,Manufacturing,Retail & Food Services,$5 to $25 million (USD),50
1821,Mercury Insurance Group,Attorney - Insurance Defense - Work From Home/Bay Area,,,"are you interested in working for a company that’s been recognized as one of ‘america’s best insurance companies’?
bretoi, lutz & stele, house counsel for mercury insurance is currently seeking an attorney ii to join our team in the bay area! **this position will require in-person court appearances and hearings/trials in the surrounding area**
mercury was recently named one of ‘america’s best employers’ by forbes magazine for the third consecutive year. we have also been recognized seven times by forbes as one of “america’s most trustworthy companies.” at mercury, people come first. we offer bonus potential, excellent benefits, matching 401(k), company vehicle, employee activities, and many more perks.
overview of benefits:",Oakland,CA,64065.0,50.0,81.0,1001 - 5000 ,Insurance Carriers,Insurance,Legal,$1 to $5 billion (USD),160
1822,Flow Health,Law Clerk ,,,"about our company: as a growing leader in covid-19 diagnostic technology, flow health is transforming medical decision-making to bring individualized, data-driven diagnostics to clinicians and directly to patients.
job description
flow health is looking for an experienced law clerk who will be responsible for gathering, preparing, and summarizing relevant materials for use by attorneys and other members of the team. you will assist with strategic and tactical corporate legal initiatives; prepare, index and track trademark and other business filings; organize and maintain case files of new and existing complaints; track pending litigation and pre-litigation with outside counsel; and conduct legal research, among other projects.
in addition, you will be responsible for reviewing, drafting, and maintaining agreements with attorney supervision, facilitating business transactions, reviewing and redlining leases, commercial licenses, and assisting with leading and ensuring compliance of the company in general, and other duties as assigned.",Culver City,CA,62500.0,55.0,70.0,1001 - 5000 ,Healthcare,Unknown / Non-Applicable,Legal,,160
1825,Beacon Hill Staffing Group,Commercial Real Estate Paralegal *Hybrid*,,,"paralegal position

boutique brickell law firm is seeking a paralegal to support its real estate practice group. the successful candidate will have strong attention to detail, effective verbal and written communication skills, and possess a strong work ethic. the position requires experience in handling and overseeing real estate transactions, including purchase and sale transactions and financing transactions. candidate must have experience and familiarity with title insurance, surveys and general real estate diligence. the position will require the candidate to work with transactional lawyers in commercial and residential real estate acquisitions and financings, diligence projects, and general real estate support. remote candidates will be strongly considered as well.

ideal candidate must be able to work effectively and efficiently with attorneys, clients, lenders and outside organizations. we offer an excellent compensation and benefits package.

beacon hill staffing group is an eeo employer.


founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement.

our niche brands offer a complete suite of staffing services to emerging growth companies and the fortune 500 across market sectors, career specialties/disciplines and industries. over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs.

learn more about beacon hill staffing group and our specialty divisions, beacon hill associates, beacon hill financial, beacon hill hr, beacon hill legal, beacon hill life sciences and beacon hill technologies by visiting www.beaconhillstaffing.com.

we look forward to working with you.

beacon hill. employing the future™",Miami,FL,69941.0,55.0,88.0,1001 - 5000 ,Staffing & Subcontracting,Human Resources & Staffing,Legal,$500 million to $1 billion (USD),160
1826,Autodesk,Compensation Partner ,,,"job requisition id #
22wd65489
position overview
are you interested in building the design and delivery of compensation programs in a software design and services company that is truly shaping the world? as a compensation business partner, you will collaborate and support hr and management in implementing compensation programs and analysis. you will have the opportunity to help deliver and influence key initiatives on our exciting roadmap of transforming compensation at autodesk.
responsibilities
provide compensation consulting expertise to aligned business areas, advising on how best to optimize pay components
contribute to the design and delivery of base pay, annual incentives, equity and recognition programs",,IL,,,,10000+ ,Computer Hardware Development,Information Technology,Legal,$1 to $5 billion (USD),160
1828,Alliance HealthCare Services,Corporate Paralegal ,,,"about us:
at alliance healthcare services, our focus is on transforming the customer and patient experience. vital to our success are the corporate team members who collaborate with clinical, operational, and sales teams in the field. we focus on delivering improved processes, innovative new services, and business solutions that differentiate and advance our comprehensive clinical services—always with our patients’ and customers’ needs in mind.
job responsibilities:
provides support and assistance to the corporate counsel, outside counsel and general support to other team members in connection with various legal matters. acts as the contract administrator for companywide contract management system as well conducts research, and develop and maintain standard forms and databases.
maintain legal filing systems and act as the main administrator for digital file database (contract management system).
position requirements:

eeo statement:",Irvine,CA,69680.0,58240.0,81120.0,1001 - 5000 ,Health Care Services & Hospitals,Healthcare,Legal,$500 million to $1 billion (USD),160
1829,Emerald,Partnership Specialist - Marketing ,,,"overview:
emerald is seeking a partnership specialist to join our mjbiz team. mjbiz is the most trusted b2b cannabis news source in the us and canada and runs the industry’s largest trade show, mjbizcon, as well as other events and conferences.

working alongside the show marketing director and editorial/events teams, the partnership specialist will manage our alliances and trades with outside associations, events, publishers, podcasters, and other professional organizations. you will be responsible for managing upwards of 200 partnership requests, ranging from standardized barter details to complex alliances, as well as marketing projects for the events group. the partnership specialist role will include five main areas: partner research, outreach, and inbound management; partnership execution; recordkeeping, measurement, and strategic planning; partnership strategies and concept development; and event marketing support.
responsibilities:
qualifications:",Lakewood,CO,63700.0,62.0,65.0,1001 - 5000 ,Advertising & Public Relations,Media & Communication,Legal,$500 million to $1 billion (USD),160
